iteration,avg_price,cash_and_stock,cash,stock_value,action,position
101,335.5,987139.88,530057.88,457082.0,-1,-1
102,331.625,994099.38,530057.88,464041.5,-1,-1
103,332.375,992752.38,530057.88,462694.5,-1,-1
104,332.25,992976.88,530057.88,462919.0,-1,-1
105,335.125,987813.38,530057.88,457755.5,-1,-1
106,335.25,987588.88,530057.88,457531.0,-1,-1
107,345.5,969179.88,530057.88,439122.0,-1,-1
108,348.625,963567.38,530057.88,433509.5,-1,-1
109,348.625,963567.38,530057.88,433509.5,-1,-1
110,341.5,976363.88,530057.88,446306.0,-1,-1
111,343.375,972996.38,530057.88,442938.5,-1,-1
112,355.375,951444.38,530057.88,421386.5,-1,-1
113,349.875,961322.38,530057.88,431264.5,-1,-1
114,340.5,978159.88,530057.88,448102.0,-1,-1
115,341.625,976139.38,530057.88,446081.5,-1,-1
116,338.5,981751.88,530057.88,451694.0,-1,-1
117,345.75,968730.88,530057.88,438673.0,-1,-1
118,342.875,973894.38,530057.88,443836.5,-1,-1
119,342.875,973894.38,530057.88,443836.5,0,-1
120,345.375,969404.38,530057.88,439346.5,-1,-1
121,344.5,970975.88,530057.88,440918.0,-1,-1
122,346.875,966710.38,530057.88,436652.5,-1,-1
123,348.25,964240.88,530057.88,434183.0,-1,-1
124,345.375,969404.38,530057.88,439346.5,-1,-1
125,345.75,968730.88,530057.88,438673.0,-1,-1
126,346.625,967159.38,530057.88,437101.5,-1,-1
127,344.75,970526.88,530057.88,440469.0,-1,-1
128,347.75,965138.88,530057.88,435081.0,0,-1
129,363.5,936851.88,530057.88,406794.0,-1,-1
130,368.75,927422.88,530057.88,397365.0,-1,-1
131,373.5,918891.88,530057.88,388834.0,-1,-1
132,355.0,952117.88,530057.88,422060.0,-1,-1
133,359.875,943362.38,530057.88,413304.5,-1,-1
134,386.75,895094.88,530057.88,365037.0,-1,-1
135,388.0,892849.88,530057.88,362792.0,-1,-1
136,416.125,842337.38,530057.88,312279.5,-1,-1
137,430.5,816519.88,530057.88,286462.0,-1,-1
138,423.75,828642.88,530057.88,298585.0,-1,-1
139,423.125,829765.38,530057.88,299707.5,-1,-1
140,440.375,798784.38,530057.88,268726.5,-1,-1
141,449.875,781722.38,530057.88,251664.5,-1,-1
142,457.875,767354.38,530057.88,237296.5,-1,-1
143,458.375,766456.38,530057.88,236398.5,-1,-1
144,454.5,773415.88,530057.88,243358.0,-1,-1
145,439.75,799906.88,530057.88,269849.0,-1,-1
146,434.75,808886.88,530057.88,278829.0,-1,-1
147,419.75,835826.88,530057.88,305769.0,-1,-1
148,417.75,839418.88,530057.88,309361.0,-1,-1
149,419.0,837173.88,530057.88,307116.0,-1,-1
150,434.375,809560.38,530057.88,279502.5,-1,-1
151,428.5,820111.88,530057.88,290054.0,-1,-1
152,388.875,891278.38,530057.88,361220.5,-1,-1
153,375.0,916197.88,530057.88,386140.0,-1,-1
