Date,Open,High,Low,Close,Adj Close,Volume
2017-12-12,229.500000,229.500000,225.000000,227.500000,204.531845,21796584
2017-12-13,227.500000,228.000000,226.500000,227.000000,204.082352,17920331
2017-12-14,228.000000,230.500000,227.500000,230.500000,207.228973,17193313
2017-12-15,228.500000,230.000000,226.500000,230.000000,206.779465,42625779
2017-12-18,227.000000,228.000000,226.500000,227.000000,204.082352,14564664
2017-12-19,226.500000,228.500000,224.000000,225.000000,202.284256,25714129
2017-12-20,225.000000,225.500000,223.500000,224.500000,201.834717,26289333
2017-12-21,226.500000,227.000000,224.500000,225.000000,202.284256,18558164
2017-12-22,225.000000,227.500000,224.000000,227.500000,204.531845,19036483
2017-12-25,228.000000,229.500000,226.500000,228.500000,205.430908,4579675
2017-12-26,229.000000,229.000000,225.000000,226.000000,203.183304,13755843
2017-12-27,225.000000,226.000000,225.000000,225.000000,202.284256,12515245
2017-12-28,226.500000,228.000000,225.000000,226.000000,203.183304,24304371
2017-12-29,227.500000,230.000000,226.500000,229.500000,206.329941,25007443
2018-01-02,231.500000,232.500000,231.000000,232.500000,209.027054,18055269
2018-01-03,236.000000,238.000000,235.500000,237.000000,213.072754,29308091
2018-01-04,240.000000,240.000000,236.500000,239.500000,215.320343,29096613
2018-01-05,240.000000,240.000000,238.000000,240.000000,215.769867,22438255
2018-01-08,242.000000,242.500000,240.500000,242.000000,217.567947,20233692
2018-01-09,242.000000,242.000000,239.500000,242.000000,217.567947,19043123
2018-01-10,241.500000,242.000000,236.000000,236.500000,212.623245,23631220
2018-01-11,235.000000,236.000000,232.500000,235.000000,211.274658,30446338
2018-01-12,234.500000,238.000000,233.500000,237.000000,213.072754,21513291
2018-01-15,240.000000,240.000000,238.000000,240.000000,215.769867,27476533
2018-01-16,240.000000,240.500000,238.000000,240.500000,216.219376,21691632
2018-01-17,240.500000,243.000000,239.000000,242.000000,217.567947,38046119
2018-01-18,245.000000,250.000000,245.000000,248.500000,223.411713,49896952
2018-01-19,253.500000,255.500000,251.500000,255.500000,229.705017,50549292
2018-01-22,257.500000,262.000000,257.000000,261.500000,235.099258,43400509
2018-01-23,262.500000,266.000000,262.500000,266.000000,239.144943,33527444
2018-01-24,263.000000,263.000000,256.500000,258.000000,231.952637,41874813
2018-01-25,258.000000,264.000000,256.500000,258.000000,231.952637,44643756
2018-01-26,256.500000,257.500000,253.500000,255.000000,229.255508,39555523
2018-01-29,259.000000,261.500000,255.000000,258.500000,232.402145,30071234
2018-01-30,256.000000,257.500000,252.500000,253.000000,227.457413,36860591
2018-01-31,253.000000,257.500000,252.000000,255.000000,229.255508,44136808
2018-02-01,257.500000,261.000000,257.000000,259.500000,233.301178,30559457
2018-02-02,259.000000,260.000000,255.000000,259.500000,233.301178,25707560
2018-02-05,251.000000,254.500000,250.500000,253.000000,227.457413,45594379
2018-02-06,242.500000,243.500000,234.000000,239.000000,214.870819,102409048
2018-02-07,245.000000,245.500000,239.500000,240.000000,215.769867,80063178
2018-02-08,239.500000,242.000000,238.000000,238.500000,214.421310,30989550
2018-02-09,230.000000,233.000000,228.500000,232.500000,209.027054,65735265
2018-02-12,235.500000,237.500000,235.000000,236.500000,212.623245,35635236
2018-02-21,244.500000,244.500000,242.000000,242.500000,218.017487,71504174
2018-02-22,244.000000,244.000000,239.000000,239.500000,215.320343,39239993
2018-02-23,241.000000,245.000000,241.000000,245.000000,220.265060,26985776
2018-02-26,247.000000,247.500000,245.000000,246.500000,221.613602,35901810
2018-02-27,250.500000,250.500000,246.000000,246.000000,221.164108,40818119
2018-03-01,244.000000,245.000000,242.000000,243.000000,218.466995,39719984
2018-03-02,240.000000,241.000000,238.500000,240.000000,215.769867,35139170
2018-03-05,242.500000,243.000000,240.500000,241.500000,217.118439,27337846
2018-03-06,245.500000,250.000000,245.500000,250.000000,224.760269,34890780
2018-03-07,248.000000,248.500000,246.000000,247.000000,222.063171,30391219
2018-03-08,249.500000,251.500000,249.000000,249.500000,224.310745,20645694
2018-03-09,250.000000,251.000000,248.500000,250.500000,225.209793,19831063
2018-03-12,252.000000,255.000000,251.500000,254.000000,228.356430,24492615
2018-03-13,255.500000,259.000000,255.000000,259.000000,232.851639,33756883
2018-03-14,256.500000,257.500000,255.500000,257.000000,231.053558,23772838
2018-03-15,258.000000,258.000000,255.000000,255.000000,229.255508,19396493
2018-03-16,253.000000,256.000000,249.500000,255.000000,229.255508,62929326
2018-03-19,252.500000,255.500000,251.000000,255.000000,229.255508,21440766
2018-03-20,253.000000,254.000000,251.500000,253.000000,227.457413,21840151
2018-03-21,255.000000,255.000000,251.000000,252.500000,227.007889,28976737
2018-03-22,254.500000,254.500000,249.500000,251.500000,226.108826,27000668
2018-03-23,245.000000,247.000000,244.000000,245.000000,220.265060,52498390
2018-03-26,241.500000,244.500000,241.500000,243.500000,218.916504,36987945
2018-03-27,248.000000,251.000000,247.000000,251.000000,225.659317,31008260
2018-03-28,247.500000,248.000000,244.000000,245.000000,220.265060,29637411
2018-03-29,243.000000,247.000000,242.500000,244.000000,219.366043,36165345
2018-03-30,247.500000,249.500000,246.000000,246.000000,221.164108,16996346
2018-04-02,248.500000,249.000000,245.000000,246.500000,221.613602,17696003
2018-04-03,243.000000,244.500000,242.000000,244.000000,219.366043,35813944
2018-04-09,248.000000,248.000000,243.500000,245.000000,220.265060,34694824
2018-04-10,244.500000,249.000000,243.500000,245.500000,220.714600,25156994
2018-04-11,246.500000,248.500000,246.500000,248.000000,222.962189,21607935
2018-04-12,248.500000,248.500000,244.000000,245.000000,220.265060,20409657
2018-04-13,246.000000,246.000000,244.000000,244.500000,219.815536,19742548
2018-04-16,243.000000,244.000000,242.000000,243.500000,218.916504,18350139
2018-04-17,243.000000,243.500000,237.500000,238.000000,213.971786,42756389
2018-04-18,239.500000,241.500000,236.500000,238.000000,213.971786,42500048
2018-04-19,242.000000,244.500000,241.000000,244.500000,219.815536,31901989
2018-04-20,228.000000,231.500000,228.000000,229.000000,205.880417,128452087
2018-04-23,226.500000,227.500000,225.000000,226.500000,203.632828,71009975
2018-04-24,225.000000,227.500000,225.000000,227.000000,204.082352,40967892
2018-04-25,225.500000,226.000000,224.000000,225.000000,202.284256,46771110
2018-04-26,225.000000,225.500000,221.000000,222.000000,199.587112,48023557
2018-04-27,225.000000,225.500000,221.000000,223.500000,200.935669,34174459
2018-04-30,224.500000,228.000000,222.500000,227.000000,204.082352,28500789
2018-05-02,227.000000,227.500000,222.500000,223.000000,200.486145,38167942
2018-05-03,221.000000,222.500000,220.000000,220.500000,198.238571,31690731
2018-05-04,221.000000,224.000000,220.500000,223.000000,200.486145,27208722
2018-05-07,225.000000,225.500000,221.500000,223.500000,200.935669,23268759
2018-05-08,224.000000,228.500000,223.500000,228.000000,204.981369,40324763
2018-05-09,228.500000,232.000000,228.500000,229.500000,206.329941,33778934
2018-05-10,231.000000,231.500000,229.000000,229.500000,206.329941,27530377
2018-05-11,232.000000,234.000000,230.500000,233.000000,209.476578,30693910
2018-05-14,234.500000,234.500000,232.500000,233.000000,209.476578,19921437
2018-05-15,233.500000,234.000000,229.500000,230.500000,207.228973,23771769
2018-05-16,229.500000,230.500000,228.500000,230.500000,207.228973,14409556
2018-05-17,231.000000,231.500000,226.500000,226.500000,203.632828,26852737
2018-05-18,225.500000,227.500000,223.500000,223.500000,200.935669,27664541
2018-05-21,225.000000,230.000000,225.000000,229.000000,205.880417,16127815
2018-05-22,230.000000,233.500000,229.000000,229.000000,205.880417,22355097
2018-05-23,231.500000,231.500000,228.500000,228.500000,205.430908,23062899
2018-05-24,229.500000,230.000000,228.500000,229.000000,205.880417,12996610
2018-05-25,228.500000,229.500000,228.000000,228.500000,205.430908,15971294
2018-05-28,229.500000,230.000000,226.500000,227.000000,204.082352,16373270
2018-05-29,226.500000,226.500000,223.500000,225.000000,202.284256,23764776
2018-05-30,224.000000,224.000000,220.500000,221.000000,198.688095,49163788
2018-05-31,221.500000,224.000000,220.500000,224.000000,201.385208,96069458
2018-06-01,224.500000,226.500000,224.000000,224.000000,201.385208,27617994
2018-06-04,227.500000,229.000000,227.000000,229.000000,205.880417,25959480
2018-06-05,230.000000,230.000000,226.500000,229.000000,205.880417,26534884
2018-06-06,229.000000,230.000000,227.000000,230.000000,206.779465,24767441
2018-06-07,231.000000,231.500000,228.000000,230.000000,206.779465,24958266
2018-06-08,229.000000,229.000000,226.000000,227.000000,204.082352,23548851
2018-06-11,226.500000,227.000000,225.000000,226.000000,203.183304,21696933
2018-06-12,225.000000,229.000000,224.000000,229.000000,205.880417,29501260
2018-06-13,229.000000,232.000000,228.000000,232.000000,208.577560,28944970
2018-06-14,230.000000,230.000000,226.500000,226.500000,203.632828,33408041
2018-06-15,225.000000,231.000000,224.000000,231.000000,207.678497,48059679
2018-06-19,225.500000,226.000000,224.000000,225.000000,202.284256,56889624
2018-06-20,224.500000,227.500000,223.500000,226.000000,203.183304,40708701
2018-06-21,227.500000,228.000000,226.000000,226.500000,203.632828,31242557
2018-06-22,224.500000,227.500000,224.000000,227.500000,204.531845,43581409
2018-06-25,220.000000,220.500000,218.000000,218.000000,203.134140,45025211
2018-06-26,215.500000,216.000000,212.500000,214.500000,199.872818,38446346
2018-06-27,216.000000,216.000000,212.500000,213.000000,198.475113,39888414
2018-06-28,211.000000,214.500000,210.000000,212.000000,197.543289,37940780
2018-06-29,212.000000,217.000000,212.000000,216.500000,201.736450,34313680
2018-07-02,218.500000,219.000000,214.000000,214.000000,199.406906,32449442
