,loss,val_loss,reward,epsilon
0,109820920.98203151,121369579.77978277,-9767380.53,0.7382
1,114456241.7895168,119925788.04125646,-7934701.79,0.483
2,137575848.72609618,203587886.76028085,1573968.4,0.2245
3,104506338.2622924,82565031.09628609,13083701.73,0.0089
