,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,-500.2484487
150,-15.007453460999999
151,-15.007453460999999
152,-15.007453460999999
153,-15.007453460999999
154,-15.007453460999999
155,-15.007453460999999
156,-15.007453460999999
157,-15.007453460999999
158,-15.007453460999999
159,-15.007453460999999
160,-15.007453460999999
161,-15.007453460999999
162,-15.007453460999999
163,-15.007453460999999
164,-15.007453460999999
165,-15.007453460999999
166,-15.007453460999999
167,-15.007453460999999
168,-15.007453460999999
169,-15.007453460999999
170,-15.007453460999999
171,-15.007453460999999
172,-15.007453460999999
173,-15.007453460999999
174,-15.007453460999999
175,-15.007453460999999
176,-15.007453460999999
177,-15.007453460999999
178,-15.007453460999999
179,-15.007453460999999
180,-15.007453460999999
181,-15.007453460999999
182,-15.007453460999999
183,-15.007453460999999
184,-15.007453460999999
185,-15.007453460999999
186,-15.007453460999999
187,-15.007453460999999
188,-15.007453460999999
189,-15.007453460999999
190,-15.007453460999999
191,-15.007453460999999
192,-15.007453460999999
193,-15.007453460999999
194,-15.007453460999999
195,-15.007453460999999
196,-15.007453460999999
197,-15.007453460999999
198,-15.007453460999999
199,-15.007453460999999
200,-15.007453460999999
201,-15.007453460999999
202,-15.007453460999999
203,-15.007453460999999
204,-15.007453460999999
205,-15.007453460999999
206,-15.007453460999999
207,-15.007453460999999
208,-15.007453460999999
209,-15.007453460999999
210,-15.007453460999999
211,-15.007453460999999
212,-15.007453460999999
213,-15.007453460999999
214,-15.007453460999999
215,-15.007453460999999
216,-15.007453460999999
217,-15.007453460999999
218,-15.007453460999999
219,-15.007453460999999
220,-15.007453460999999
221,-15.007453460999999
222,-15.007453460999999
223,-15.007453460999999
224,-15.007453460999999
225,-15.007453460999999
226,-15.007453460999999
227,-15.007453460999999
228,-15.007453460999999
229,-15.007453460999999
230,-15.007453460999999
231,-15.007453460999999
232,-15.007453460999999
233,-15.007453460999999
234,-15.007453460999999
235,-15.007453460999999
236,-15.007453460999999
237,-15.007453460999999
238,-15.007453460999999
239,-15.007453460999999
240,-15.007453460999999
241,-15.007453460999999
242,-15.007453460999999
243,808209.9804465391
244,0.0
245,0.0
246,0.0
247,-902.6985625
248,-27.080956875000002
249,-27.080956875000002
250,-27.080956875000002
251,-27.080956875000002
252,-27.080956875000002
253,-27.080956875000002
254,-27.080956875000002
255,-27.080956875000002
256,-27.080956875000002
257,-27.080956875000002
258,-27.080956875000002
259,-27.080956875000002
260,-27.080956875000002
261,-27.080956875000002
262,-27.080956875000002
263,-27.080956875000002
264,-27.080956875000002
265,-27.080956875000002
266,-27.080956875000002
267,-27.080956875000002
268,-27.080956875000002
269,-27.080956875000002
270,-27.080956875000002
271,-27.080956875000002
272,-27.080956875000002
273,-27.080956875000002
274,-27.080956875000002
275,-27.080956875000002
276,-27.080956875000002
277,-27.080956875000002
278,-27.080956875000002
279,-27.080956875000002
280,-27.080956875000002
281,-27.080956875000002
282,-27.080956875000002
283,-27.080956875000002
284,-27.080956875000002
285,-27.080956875000002
286,-27.080956875000002
287,-27.080956875000002
288,-27.080956875000002
289,-27.080956875000002
290,-27.080956875000002
291,-27.080956875000002
292,-27.080956875000002
293,-27.080956875000002
294,-27.080956875000002
295,-27.080956875000002
296,-27.080956875000002
297,-27.080956875000002
298,-27.080956875000002
299,-27.080956875000002
300,-27.080956875000002
301,-27.080956875000002
302,-27.080956875000002
303,-27.080956875000002
304,-27.080956875000002
305,-27.080956875000002
306,-27.080956875000002
307,-27.080956875000002
308,-27.080956875000002
