,0
0,-500.1340093749999
1,-15.004020281249998
2,-15.004020281249998
3,-15.004020281249998
4,-15.004020281249998
5,-15.004020281249998
6,-15.004020281249998
7,-15.004020281249998
8,-15.004020281249998
9,-15.004020281249998
10,-15.004020281249998
11,-15.004020281249998
12,-15.004020281249998
13,-15.004020281249998
14,-15.004020281249998
15,-15.004020281249998
16,-15.004020281249998
17,-15.004020281249998
18,-15.004020281249998
19,-15.004020281249998
20,-15.004020281249998
21,-15.004020281249998
22,-15.004020281249998
23,-15.004020281249998
24,-15.004020281249998
25,-15.004020281249998
26,-15.004020281249998
27,-15.004020281249998
28,-15.004020281249998
29,-15.004020281249998
30,-15.004020281249998
31,-15.004020281249998
32,-15.004020281249998
33,-15.004020281249998
34,-15.004020281249998
35,-15.004020281249998
36,-15.004020281249998
37,-15.004020281249998
38,-15.004020281249998
39,-15.004020281249998
40,-15.004020281249998
41,-15.004020281249998
42,-15.004020281249998
43,-15.004020281249998
44,-15.004020281249998
45,-15.004020281249998
46,-15.004020281249998
47,-15.004020281249998
48,-15.004020281249998
49,-15.004020281249998
50,-15.004020281249998
51,-15.004020281249998
52,-15.004020281249998
53,-15.004020281249998
54,-15.004020281249998
55,-15.004020281249998
56,-15.004020281249998
57,-15.004020281249998
58,-15.004020281249998
59,-15.004020281249998
60,-15.004020281249998
61,-15.004020281249998
62,-15.004020281249998
63,-15.004020281249998
64,-15.004020281249998
65,-15.004020281249998
66,-15.004020281249998
67,-15.004020281249998
68,-15.004020281249998
69,-15.004020281249998
70,-15.004020281249998
71,-15.004020281249998
72,-15.004020281249998
73,-15.004020281249998
74,-15.004020281249998
75,-15.004020281249998
76,-15.004020281249998
77,-15.004020281249998
78,-15.004020281249998
79,-15.004020281249998
80,-15.004020281249998
81,-15.004020281249998
82,-15.004020281249998
83,-15.004020281249998
84,-15.004020281249998
85,-15.004020281249998
86,-15.004020281249998
87,-15.004020281249998
88,-15.004020281249998
89,-15.004020281249998
90,-15.004020281249998
91,-15.004020281249998
92,-15.004020281249998
93,-15.004020281249998
94,-15.004020281249998
95,-15.004020281249998
96,-15.004020281249998
97,-15.004020281249998
98,-15.004020281249998
99,-15.004020281249998
100,-15.004020281249998
101,-15.004020281249998
102,-15.004020281249998
103,-15.004020281249998
104,-15.004020281249998
105,-15.004020281249998
106,-15.004020281249998
107,-15.004020281249998
108,-15.004020281249998
109,-15.004020281249998
110,-15.004020281249998
111,-15.004020281249998
112,-15.004020281249998
113,-15.004020281249998
114,-15.004020281249998
115,-15.004020281249998
116,-15.004020281249998
117,-15.004020281249998
118,-15.004020281249998
119,-15.004020281249998
120,-15.004020281249998
121,-15.004020281249998
122,-15.004020281249998
123,-15.004020281249998
124,-15.004020281249998
125,-15.004020281249998
126,-15.004020281249998
127,-15.004020281249998
128,-15.004020281249998
129,-15.004020281249998
130,-15.004020281249998
131,-15.004020281249998
132,-15.004020281249998
133,-15.004020281249998
134,-15.004020281249998
135,-15.004020281249998
136,-15.004020281249998
137,-15.004020281249998
138,-15.004020281249998
139,-15.004020281249998
140,-15.004020281249998
141,-15.004020281249998
142,-15.004020281249998
143,-15.004020281249998
144,-15.004020281249998
145,-15.004020281249998
146,-15.004020281249998
147,-15.004020281249998
148,-15.004020281249998
149,-15.004020281249998
150,-15.004020281249998
151,-15.004020281249998
152,-15.004020281249998
153,-15.004020281249998
154,-15.004020281249998
155,-15.004020281249998
156,-15.004020281249998
157,-15.004020281249998
158,-15.004020281249998
159,-15.004020281249998
160,-15.004020281249998
161,-15.004020281249998
162,-15.004020281249998
163,-15.004020281249998
164,-15.004020281249998
165,-15.004020281249998
166,-15.004020281249998
167,-15.004020281249998
168,-15.004020281249998
169,-15.004020281249998
170,-15.004020281249998
171,-15.004020281249998
172,-15.004020281249998
173,-15.004020281249998
174,-15.004020281249998
175,-15.004020281249998
176,-15.004020281249998
177,-15.004020281249998
178,-15.004020281249998
179,-15.004020281249998
180,-15.004020281249998
181,-15.004020281249998
182,-15.004020281249998
183,-15.004020281249998
184,-15.004020281249998
185,-15.004020281249998
186,-15.004020281249998
187,-15.004020281249998
188,-15.004020281249998
189,-15.004020281249998
190,-15.004020281249998
191,-15.004020281249998
192,-15.004020281249998
193,-15.004020281249998
194,-15.004020281249998
195,-15.004020281249998
196,-15.004020281249998
197,-15.004020281249998
198,-15.004020281249998
199,-15.004020281249998
200,-15.004020281249998
201,-15.004020281249998
202,-15.004020281249998
203,-15.004020281249998
204,-15.004020281249998
205,-15.004020281249998
206,-15.004020281249998
207,-15.004020281249998
208,-15.004020281249998
209,-15.004020281249998
210,-15.004020281249998
211,-15.004020281249998
212,-15.004020281249998
213,-15.004020281249998
214,-15.004020281249998
215,-15.004020281249998
216,-15.004020281249998
217,-15.004020281249998
218,-15.004020281249998
219,-15.004020281249998
220,-15.004020281249998
221,-15.004020281249998
222,-15.004020281249998
223,-15.004020281249998
224,-15.004020281249998
225,-15.004020281249998
226,-15.004020281249998
227,-15.004020281249998
228,-15.004020281249998
229,-15.004020281249998
230,-15.004020281249998
231,-15.004020281249998
232,-15.004020281249998
233,-15.004020281249998
234,-15.004020281249998
235,-15.004020281249998
236,-15.004020281249998
237,-15.004020281249998
238,-15.004020281249998
